CNTY_CODE,FIPS_CODE,CDDIST,total_votes,precinct_area,hispanic_cvap_share,hispanic_turnout_rate,hispanic_expected_voters,black_cvap_share,black_turnout_rate,black_expected_voters,asian_cvap_share,asian_turnout_rate,asian_expected_voters,white_cvap_share,white_turnout_rate,white_expected_voters,total_cvap,weighted_turnout,dem_total_raised,dem_total_spent,dem_cash_on_hand,dem_individual_contributions,rep_total_raised,rep_total_spent,rep_cash_on_hand,rep_individual_contributions,fundraising_advantage,spending_advantage,dem_fundraising_share,dem_spending_share,COUNTY_encoded,other_party_votes,turnout_x_funding,hispanic_power,white_power,dem_dollar_per_vote,rep_dollar_per_vote,minority_ratio,precinct_area_normalized,total_votes_normalized,fundraising_advantage_normalized,spending_advantage_normalized
1,6001,13,1,0.0136652775920652,0.5143447212571685,0.54,106647.3,0.0420080526285633,0.63,10161.9,0.063525134514316,0.59,14391.28,0.3801220915999521,0.71,103629.47,383974,0.6115777370342783,5416262.01,4671627.25,799009.45,4813067.49,4147091.59,3213218.23,959391.99,1579691.68,1269170.42,1458409.02,56.63559287403114,59.24817755591578,0,0,34.63706772549466,0.277746149478871,0.26988668503596597,4671627.25,3213218.23,1.6307337092431329,-0.7287241416356304,-1.470141939593547,-0.9973649493065532,
1,6001,13,0,0.0295118478712561,0.5143447212571685,0.54,106647.3,0.0420080526285633,0.63,10161.9,0.063525134514316,0.59,14391.28,0.3801220915999521,0.71,103629.47,383974,0.6115777370342783,5416262.01,4671627.25,799009.45,4813067.49,4147091.59,3213218.23,959391.99,1579691.68,1269170.42,1458409.02,56.63559287403114,59.24817755591578,0,0,34.63706772549466,0.277746149478871,0.26988668503596597,inf,inf,1.6307337092431329,-0.7240343168001603,-1.4708985316245629,-0.9973649493065532,
1,6001,13,0,0.0304585621472481,0.5143447212571685,0.54,106647.3,0.0420080526285633,0.63,10161.9,0.063525134514316,0.59,14391.28,0.3801220915999521,0.71,103629.47,383974,0.6115777370342783,5416262.01,4671627.25,799009.45,4813067.49,4147091.59,3213218.23,959391.99,1579691.68,1269170.42,1458409.02,56.63559287403114,59.24817755591578,0,0,34.63706772549466,0.277746149478871,0.26988668503596597,inf,inf,1.6307337092431329,-0.7237541347768317,-1.4708985316245629,-0.9973649493065532,
1,6001,13,0,0.0414019474955444,0.5143447212571685,0.54,106647.3,0.0420080526285633,0.63,10161.9,0.063525134514316,0.59,14391.28,0.3801220915999521,0.71,103629.47,383974,0.6115777370342783,5416262.01,4671627.25,799009.45,4813067.49,4147091.59,3213218.23,959391.99,1579691.68,1269170.42,1458409.02,56.63559287403114,59.24817755591578,0,0,34.63706772549466,0.277746149478871,0.26988668503596597,inf,inf,1.6307337092431329,-0.7205154175347827,-1.4708985316245629,-0.9973649493065532,
1,6001,13,0,0.0498245820379251,0.5143447212571685,0.54,106647.3,0.0420080526285633,0.63,10161.9,0.063525134514316,0.59,14391.28,0.3801220915999521,0.71,103629.47,383974,0.6115777370342783,5416262.01,4671627.25,799009.45,4813067.49,4147091.59,3213218.23,959391.99,1579691.68,1269170.42,1458409.02,56.63559287403114,59.24817755591578,0,0,34.63706772549466,0.277746149478871,0.26988668503596597,inf,inf,1.6307337092431329,-0.7180227216415384,-1.4708985316245629,-0.9973649493065532,
1,6001,13,208,0.0652479767980594,0.5143447212571685,0.54,106647.3,0.0420080526285633,0.63,10161.9,0.063525134514316,0.59,14391.28,0.3801220915999521,0.71,103629.47,383974,0.6115777370342783,5416262.01,4671627.25,799009.45,4813067.49,4147091.59,3213218.23,959391.99,1579691.68,1269170.42,1458409.02,56.63559287403114,59.24817755591578,0,8,34.63706772549466,0.277746149478871,0.26988668503596597,22459.74639423077,15448.164567307693,1.6307337092431329,-0.713458136465128,-1.3135273891732653,-0.9973649493065532,
1,6001,13,0,0.0504791540061019,0.5143447212571685,0.54,106647.3,0.0420080526285633,0.63,10161.9,0.063525134514316,0.59,14391.28,0.3801220915999521,0.71,103629.47,383974,0.6115777370342783,5416262.01,4671627.25,799009.45,4813067.49,4147091.59,3213218.23,959391.99,1579691.68,1269170.42,1458409.02,56.63559287403114,59.24817755591578,0,0,34.63706772549466,0.277746149478871,0.26988668503596597,inf,inf,1.6307337092431329,-0.7178289997308112,-1.4708985316245629,-0.9973649493065532,
1,6001,13,108,0.074417429869669,0.5143447212571685,0.54,106647.3,0.0420080526285633,0.63,10161.9,0.063525134514316,0.59,14391.28,0.3801220915999521,0.71,103629.47,383974,0.6115777370342783,5416262.01,4671627.25,799009.45,4813067.49,4147091.59,3213218.23,959391.99,1579691.68,1269170.42,1458409.02,56.63559287403114,59.24817755591578,0,3,34.63706772549466,0.277746149478871,0.26988668503596597,43255.80787037037,29752.020648148147,1.6307337092431329,-0.7107444181030304,-1.3891865922748508,-0.9973649493065532,
1,6001,13,180,0.0703310220064515,0.5143447212571685,0.54,106647.3,0.0420080526285633,0.63,10161.9,0.063525134514316,0.59,14391.28,0.3801220915999521,0.71,103629.47,383974,0.6115777370342783,5416262.01,4671627.25,799009.45,4813067.49,4147091.59,3213218.23,959391.99,1579691.68,1269170.42,1458409.02,56.63559287403114,59.24817755591578,0,6,34.63706772549466,0.277746149478871,0.26988668503596597,25953.484722222223,17851.21238888889,1.6307337092431329,-0.711953798855277,-1.3347119660417093,-0.9973649493065532,
1,6001,13,2,0.096328475460271,0.5143447212571685,0.54,106647.3,0.0420080526285633,0.63,10161.9,0.063525134514316,0.59,14391.28,0.3801220915999521,0.71,103629.47,383974,0.6115777370342783,5416262.01,4671627.25,799009.45,4813067.49,4147091.59,3213218.23,959391.99,1579691.68,1269170.42,1458409.02,56.63559287403114,59.24817755591578,0,0,34.63706772549466,0.277746149478871,0.26988668503596597,2335813.625,1606609.115,1.6307337092431329,-0.7042597994144765,-1.4693853475625311,-0.9973649493065532,
